uidp,date,study_cycle,adetourtime,a_early,a_late,route_FE,is_long_route,has_long_route_pre,high_dttime,acharge_weekmean,max_cycle
L0209112655,2017-00-06,2,7.0,0,1,18,3.283689450239713e-6,0,1,192,2
L0209112655,2017-00-06,2,7.0,0,1,17,3.283689450239713e-6,0,1,192,2
L0209192746,2017-00-20,0,10.166667,1,0,19,0.06122462348561153,0,1,192,4
L0209192746,2017-00-22,0,10.166667,1,0,19,0.06122462348561153,0,1,192,4
L0209192746,2017-00-23,0,10.166667,1,0,19,0.06122462348561153,0,1,192,4
L0209192746,2017-00-27,0,10.166667,1,0,20,0.06122462348561153,0,1,192,4
L0209192746,2017-00-27,0,10.166667,1,0,19,0.06122462348561153,0,1,192,4
L0209192746,2017-00-28,0,10.166667,1,0,19,0.06122462348561153,0,1,192,4
L0209192746,2017-00-01,0,10.166667,1,0,20,0.06122462348561153,0,1,192,4
L0209192746,2017-00-01,0,10.166667,1,0,19,0.06122462348561153,0,1,192,4
L0209192746,2017-00-02,0,10.166667,1,0,19,0.06122462348561153,0,1,192,4
L0209192746,2017-00-20,1,10.166667,1,0,20,0.3234935938504381,0,1,192,4
L0209192746,2017-00-20,1,10.166667,1,0,19,0.3234935938504381,0,1,192,4
L0209192746,2017-00-21,1,10.166667,1,0,20,0.3234935938504381,0,1,192,4
L0209192746,2017-00-27,2,10.166667,1,0,20,0.18574275622131853,0,1,192,4
L0209192746,2017-00-30,2,10.166667,1,0,20,0.18574275622131853,0,1,192,4
L0209192746,2017-00-31,2,10.166667,1,0,20,0.18574275622131853,0,1,192,4
L0209192746,2017-00-03,2,10.166667,1,0,20,0.18574275622131853,0,1,192,4
L0209192746,2017-00-03,2,10.166667,1,0,19,0.18574275622131853,0,1,192,4
L0209192746,2017-00-04,3,10.166667,1,0,20,0.12034242670274153,0,1,192,4
L0209192746,2017-00-05,3,10.166667,1,0,20,0.12034242670274153,0,1,192,4
L0209192746,2017-00-06,3,10.166667,1,0,20,0.12034242670274153,0,1,192,4
L0209192746,2017-00-06,3,10.166667,1,0,19,0.12034242670274153,0,1,192,4
L0209192746,2017-00-10,3,10.166667,1,0,20,0.12034242670274153,0,1,192,4
L0209192746,2017-00-11,4,10.166667,1,0,20,0.08929213927977586,0,1,192,4
L0209192746,2017-00-13,4,10.166667,1,0,19,0.08929213927977586,0,1,192,4
L0220074727,2017-00-23,0,3.8,1,0,21,0.21136833514260356,0,0,192,3
L0220074727,2017-00-07,0,3.8,1,0,21,0.21136833514260356,0,0,192,3
L0220074727,2017-00-04,0,3.8,1,0,21,0.21136833514260356,0,0,192,3
L0220074727,2017-00-05,0,3.8,1,0,21,0.21136833514260356,0,0,192,3
L0220074727,2017-00-06,0,3.8,1,0,21,0.21136833514260356,0,0,192,3
L0220074727,2017-00-11,0,3.8,1,0,21,0.21136833514260356,0,0,192,3
L0220074727,2017-00-26,3,3.8,1,0,21,0.3198315890013952,0,0,192,3
L0220074727,2017-00-31,3,3.8,1,0,21,0.3198315890013952,0,0,192,3
L0220092815,2017-00-21,0,3.0833333,1,0,23,0.09258073277647905,1,0,96,3
L0220092815,2017-00-21,0,3.0833333,1,0,22,0.09258073277647905,1,0,96,3
L0220092815,2017-00-22,0,3.0833333,1,0,23,0.09258073277647905,1,0,96,3
L0220092815,2017-00-27,0,3.0833333,1,0,23,0.09258073277647905,1,0,96,3
L0220092815,2017-00-27,0,3.0833333,1,0,22,0.09258073277647905,1,0,96,3
L0220092815,2017-00-28,0,3.0833333,1,0,23,0.09258073277647905,1,0,96,3
L0220092815,2017-00-28,0,3.0833333,1,0,22,0.09258073277647905,1,0,96,3
L0220092815,2017-00-01,0,3.0833333,1,0,23,0.09258073277647905,1,0,96,3
L0220092815,2017-00-01,0,3.0833333,1,0,22,0.09258073277647905,1,0,96,3
L0220092815,2017-00-02,0,3.0833333,1,0,23,0.09258073277647905,1,0,96,3
L0220092815,2017-00-02,0,3.0833333,1,0,22,0.09258073277647905,1,0,96,3
L0220092815,2017-00-03,0,3.0833333,1,0,23,0.09258073277647905,1,0,96,3
L0220092815,2017-00-09,0,3.0833333,1,0,23,0.09258073277647905,1,0,96,3
L0220092815,2017-00-09,0,3.0833333,1,0,22,0.09258073277647905,1,0,96,3
L0220092815,2017-00-13,0,3.0833333,1,0,23,0.09258073277647905,1,0,96,3
L0220092815,2017-00-14,0,3.0833333,1,0,23,0.09258073277647905,1,0,96,3
L0220092815,2017-00-14,0,3.0833333,1,0,22,0.09258073277647905,1,0,96,3
L0220092815,2017-00-15,0,3.0833333,1,0,22,0.09258073277647905,1,0,96,3
L0220092815,2017-00-16,0,3.0833333,1,0,23,0.09258073277647905,1,0,96,3
L0220092815,2017-00-20,1,3.0833333,1,0,23,0.22879065394334208,1,0,96,3
L0220092815,2017-00-20,1,3.0833333,1,0,22,0.22879065394334208,1,0,96,3
L0220092815,2017-00-21,1,3.0833333,1,0,23,0.22879065394334208,1,0,96,3
L0220092815,2017-00-21,1,3.0833333,1,0,22,0.22879065394334208,1,0,96,3
L0220092815,2017-00-22,1,3.0833333,1,0,23,0.22879065394334208,1,0,96,3
L0220092815,2017-00-22,1,3.0833333,1,0,22,0.22879065394334208,1,0,96,3
L0220092815,2017-00-23,1,3.0833333,1,0,23,0.22879065394334208,1,0,96,3
L0220092815,2017-00-23,1,3.0833333,1,0,22,0.22879065394334208,1,0,96,3
L0220092815,2017-00-05,2,3.0833333,1,0,22,0.21313095335130905,1,0,96,3
L0220092815,2017-00-06,2,3.0833333,1,0,23,0.21313095335130905,1,0,96,3
L0220092815,2017-00-06,2,3.0833333,1,0,22,0.21313095335130905,1,0,96,3
L0220092815,2017-00-07,2,3.0833333,1,0,23,0.21313095335130905,1,0,96,3
L0220092815,2017-00-07,2,3.0833333,1,0,22,0.21313095335130905,1,0,96,3
L0220092815,2017-00-10,2,3.0833333,1,0,23,0.21313095335130905,1,0,96,3
L0220092815,2017-00-10,2,3.0833333,1,0,22,0.21313095335130905,1,0,96,3
L0220092815,2017-00-11,2,3.0833333,1,0,23,0.21313095335130905,1,0,96,3
L0220092815,2017-00-11,2,3.0833333,1,0,22,0.21313095335130905,1,0,96,3
L0220092815,2017-00-12,3,3.0833333,1,0,23,0.19657458420593266,1,0,96,3
L0220092815,2017-00-12,3,3.0833333,1,0,22,0.19657458420593266,1,0,96,3
L0220092815,2017-00-17,3,3.0833333,1,0,23,0.19657458420593266,1,0,96,3
L0220102705,2017-00-13,0,7.5999999,0,1,25,1.0388408642203473e-6,0,1,192,4
L0220102705,2017-00-13,0,7.5999999,0,1,24,1.0388408642203473e-6,0,1,192,4
L0220102705,2017-00-10,0,7.5999999,0,1,25,1.0388408642203473e-6,0,1,192,4
L0220102705,2017-00-11,0,7.5999999,0,1,25,1.0388408642203473e-6,0,1,192,4
L0220102705,2017-00-11,0,7.5999999,0,1,24,1.0388408642203473e-6,0,1,192,4
L0220102705,2017-00-18,0,7.5999999,0,1,25,1.0388408642203473e-6,0,1,192,4
L0220102705,2017-00-18,0,7.5999999,0,1,24,1.0388408642203473e-6,0,1,192,4
L0220102705,2017-00-22,0,7.5999999,0,1,24,1.0388408642203473e-6,0,1,192,4
L0220102705,2017-00-01,0,7.5999999,0,1,25,1.0388408642203473e-6,0,1,192,4
L0220102705,2017-00-08,1,7.5999999,0,1,25,5.150531304787265e-7,0,1,192,4
L0220102705,2017-00-08,1,7.5999999,0,1,24,5.150531304787265e-7,0,1,192,4
L0220102705,2017-00-08,1,7.5999999,0,1,25,5.150531304787265e-7,0,1,192,4
L0220102705,2017-00-09,1,7.5999999,0,1,25,5.150531304787265e-7,0,1,192,4
L0220102705,2017-00-09,1,7.5999999,0,1,25,5.150531304787265e-7,0,1,192,4
L0220102705,2017-00-12,1,7.5999999,0,1,25,5.150531304787265e-7,0,1,192,4
L0220102705,2017-00-13,1,7.5999999,0,1,25,5.150531304787265e-7,0,1,192,4
L0220102705,2017-00-14,2,7.5999999,0,1,25,5.339691565575677e-6,0,1,192,4
L0220102705,2017-00-14,2,7.5999999,0,1,24,5.339691565575677e-6,0,1,192,4
