uidp,deviceid
L0503202111_2C5F,SNHH6SACQ
L0504115855_6794,Q8FFMAXYR
L0504122922_910E,8NKK844CM
L0504124342_FCBF,BRVVERZVV
L0504130449_B1D5,E8YYKSKSH
L0504134137_CDE3,2WDDYQ2A8
L0504162741_5D96,WTMM3V65D
L0504164739_E758,PVEEGG3V5
L0504170256_A745,PVEEHFSFE
L0504203023_5C5C,TKH2WZ4WW
L0427104123_5772,JV5D8ZM5Q
L0505093436_C932,BRVJ3BU4G
L0505102518_A236,AZUGMNL9X
L0505104128_0DAE,THJPFRC3L
L0505105745_CEA3,BRVJ6832Q
L0505120926_6FCB,3MEKBNBCM
L0505142616_412B,DTBS3R2K2
L0505144517_C43A,F3D8NAEEM
L0505150319_0BE4,SNS483RNQ
L0505154651_0CD7,XE9MTK72U
L0505164320_B3D7,E8CUHUSV2
L0505165641_0E94,E8CUKX43U
L0505171454_CB69,AZ62FVHAD
L0505174611_6616,C8RMPHT7G
L0505180850_130F,4ERQLN8UY
L0505183342_BB3D,LQKZJWXWR
L0505192417_BC68,P8L4T43HY
L0505164454_165B,PVPL2K22G
L0505174417_E52A,7HU9END98
L0505181646_B477,KPJQSHQYS
L0506154130_295D,9FWAMP3XN
L0506160806_54CB,NJM4ABKM2
L0506172616_B451,HVFR84A79
L0506174402_4BB5,Z2ZGV5S63
L0506184256_E649,WTWHSLF7N
L0426112758_9D81,CKWSEG2NC
L0508150600_0EBF,Y6FL33DZ7
L0508153515_C64A,HVF9WJ4FR
L0508161823_DE1D,65TK5RQM2
L0508165913_124E,8N9WZ7T39
L0508174958_627D,MWLHVTN5V
L0508190836_7879,HVFCBUD2S
L0503110700_D26A,DTXDFMSRN
L0223092528,YV3N328X4
L0503121538_351B,CKWC69PSP
L0503124203_F646,2WDEZF2Y8
L0503130801_EFA1,JV5KB63QQ
L0503132818_C75B,THJVGCZLU
L0503152857_3A54,5KGH9CUF3
L0503155009_EF94,5KGH49BQ3
L0503161851_151F,YVPSANGX6
L0503165926_83DD,WTMQNNSA2
L0223105430,PV36EGBMU
L0503185501_1675,YVPPVQB3T
L0223114133,VG39PHGZF
L0504081251_196C,HV3YY7K6E
L0504084328_8867,XENL9WFJQ
L0504090514_A05B,LQA46HT97
L0223115328,U83L82D3W
L0504095642_198B,U8KKJVSEU
L0504111601_C9EB,THJJQV4TH
L0504112401_DA0F,9FLLP96PV
L0504113002_D087,2WDDG37K2
L0504120653_C0F8,AZUUWVVUD
L0504122852_50CA,THJJC932J
L0504124458_D6FC,SNHH2GH94
L0504132916_F556,WTMM8JF2X
L0504135613_536B,SNHHQBMQJ
L0504142143_F8AF,GQ22NKARL
L0223130146,YV395SNFW
L0504150317_76F0,LQAAJ4LM9
L0504152730_51BF,5KGGLVA5C
L0504161045_4866,PVEEBPB5E
L0504170536_AF32,PVEERRXLA
L0504173006_3118,E8YYVNCTV
L0504190831_8B2F,VGLVMEFAZ
L0504193107_4BC7,F78BVJ3AG
L0505090127_790A,XENXYBHTN
L0505090527_807D,DTXNKYPZY
L0505091407_99D8,7HJTZ8XW7
L0505091752_3AE3,AZUGYSHED
L0505093006_7D58,Z2Q3DKN93
L0505094634_1358,AZUGCFLU5
L0505095731_1840,65HRZXP5Z
L0505102126_A597,GQ2UTQ3BL
L0505103910_5B3C,65HRXKUKK
L0505104151_C660,Q8FHCT3GR
L0505111721_7AFC,U8KRMMRMP
L0505112327_2B17,LQA6CCY5K
L0505113914_10E8,3MEKNUSBE
L0505114302_B406,MWB8N524X
L0505115836_B751,9FLXMH53V
L0505124628_5509,MWB8LYBSV
L0505152605_F63B,VGVM6BGWT
L0505171410_3872,DTBSJ73C2
L0505184337_1851,2WPZ3ZRT8
L0505184915_848E,BR79HYZTT
L0505190808_2885,65TWN3A4K
L0223154831,CKUQ7YLWZ
L0505192910_EA11,F3D8CT8EM
L0505195922_9990,XE9MKCNQU
L0506080204_9657,GQE8QLS88
L0506092006_58EA,PVP8AVC4S
L0506093517_B552,4ERYNMBRR
L0506094845_4488,HVFQTE8RB
L0506095000_BF4D,SNST8FLMF
L0506101047_71C3,SNSTZHQMQ
L0506101203_3166,THTK68HHJ
L0506102509_FB89,Z2ZVUU9CM
L0223164110,4E6HLMFXW
L0506105018_8C8A,7HUWRARZ7
L0506105424_C14C,3MQHZ27KC
L0506110207_811A,JVHPY2EFF
L0506110927_DCE4,F3D7PLPT5
L0506113811_0E33,LQKV5BS4K
L0506122828_C357,SNSTCFKH3
L0506155809_A810,GQE83F4UT
L0506161315_76F1,RMRWED9HD
L0506162905_3306,WTW9KWJCN
L0506165728_6AE0,JVHP2YLD9
L0506171550_40E5,BR7Z92R4H
L0506172052_1EE3,JVHP2CPYE
L0506174905_6D88,8N9EJFGCB
L0506180358_EE8D,XE94VXZNQ
L0506183414_84F2,WTWHS6WR3
L0506185125_E141,U8UJQ3J3Q
L0506191705_F704,DTB77DVZN
L0506195225_06DB,SNSGXNHW3
L0508084108_E789,3MQSS3429
L0508085701_C495,7HUL5NR47
L0508091131_3FD7,YVYK9SEZ2
L0508093813_FB98,CKA4GA7RZ
L0508094026_E9D6,LQK89A2EV
L0508100001_412E,7HUL2AFG7
L0508102238_EE9A,9FWP7YYCM
L0223170410,RM3XQPG9D
L0508105951_F24F,2WPG82QM8
L0508112658_1227,LQK8Y9J5E
L0223172418,2W6FXLF68
L0508113321_C2BD,Z2Z8YXL78
L0508120121_086E,2WPG39LKX
L0508121943_9EC2,CKA4ENLD8
L0508171641_CBE4,BR7UQE5NQ
L0508173904_487F,PVP6DJC75
L0508175548_E0EF,DTBZ4R9C7
L0508182316_FB08,MWLHH8V68
L0508190118_82DD,JVHE6DP93
L0223174958,LQ3UNA849
L0508192627_D28F,BR7UE65EG
L0508195018_D93D,9FWK7UCGG
L0509084542_17D2,GQEW3GUYE
L0509095611_20F5,PVPUPQBPG
L0509103805_06E1,PVP4V9KDV
L0509113625_DA0A,3MQZDM2AG
L0509121116_B37C,LQK9RBCYM
L0509123533_0C41,WTWUN5LJN
L0223180256,HV62UL5EG
L0509175338_566F,RMR8JQCT9
L0509192146_601D,XE95XVP8D
L0509085214_7AA1,4ERHPS539
L0509105358_AFC3,RMR8MUADN
L0509110806_FF83,XVEP36B2Q
L0509114826_2068,RMR84JTUZ
L0509120300_5752,MWLRA7M6V
L0509124557_F8A2,F3DKA8HLX
L0509131226_AE61,BR7F5LRTH
L0509160224_3BA1,KPJYHRY95
L0509161400_18A0,XE95FUCUC
L0509164838_9F37,MWLR7ABKK
L0509171427_6F4A,XE95KDPQC
L0223182153,AZ8WKQAWC
L0509173039_6F57,XE953QFGD
L0509180705_DDE8,AZ6EKW4SR
L0509181332_F3DE,LQK9M7CMK
L0509185111_F639,WTWU3EAMN
L0509194617_2DFD,SNSXU7AY2
L0509201048_32A7,BR72R6JQG
L0511090109_C850,4ERBQQ3BW
L0511091211_B8C0,DTBCTS399
L0511095033_55FC,K8PYZ4TUB
L0511101116_C2B0,2WPYCC56X
L0511102846_87DE,SNSCJF2V2
L0511104345_9AB6,JVHJT39YQ
L0511112815_571B,G8QFCBS7L
L0511154630_73C2,7HUEYWFEG
L0511162832_0766,VGVFNXQFZ
L0511075600_0532,HVF7YJUNR
L0511085449_3E30,DTBCS4UA2
L0511092906_9C22,7HUEHEFFJ
L0511122005_E0CF,2WPYVDC4X
L0511151430_8375,CKABDSWDC
L0511152352_7E34,2WPY9D4N2
L0511153309_39CA,DTBCQ4K94
L0511162109_AB48,LVQ8775PR
L0511163139_9294,XE9HQQX2Y
L0511165209_7176,7HUESK34H
L0511171302_9342,5KSCHR58Z
L0511173921_276A,SNSCLS2HJ
L0511174541_DD13,5KSAKAXWP
L0511175148_0FD1,Q8QAD5M6S
L0511180833_50D8,Z2ZKQ9TL8
L0511181205_317D,VGVFTBYCT
