run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11
61,0.0810314126193197,1,716.539340604,1,52.87522549760397,120.23879732396453,4.157904369433546,43.70725632146762,-38.49363209376306,-16.70970431101319,31.962476700194173,71.93338951785756,47.83845793761993,20.685785589412653,48.466582367280246
62,0.08114937602854337,1,626.904779443,0,44.562392210628815,113.30256262393249,3.498455239179098,29.19713829894883,-32.66000961656092,-14.104316242741946,17.658536984863485,71.30351753384176,47.84552621476431,20.33968523663132,43.721941986042836
63,0.08115669056233724,1,1115.063926213,0,113.13149735836754,105.50323117881027,9.875728007358124,38.038359008254815,-15.419502875428535,-2.7079097950366084,41.448922729668325,76.5921559465944,50.19317705899004,21.834447837177073,63.73727454919402
64,0.08151926455370757,1,262.623964522,0,95.76578478524452,109.99021181798828,8.060846528188614,39.454753358112036,-21.526552682911902,-6.622735452905069,39.36140118735781,78.58737387087582,47.36980518561623,14.939855707487641,60.121118027821275
65,0.08124232492837276,1,453.51743117,0,101.11194303792075,108.4300276125717,8.808935585766577,38.136766025783274,-19.3978268851184,-5.704392680265738,39.830459079288545,71.89296548209818,51.05084901892885,19.517414610683957,61.285523125423076
66,0.08123254729671339,1,485.67198327,0,138.72172486832983,102.24111818896758,11.878020333119432,42.11824058145285,-8.935319278616664,1.2818516860403049,49.02443424690516,78.82384541210757,51.12767699347954,22.149481872844614,69.38782805724279
67,0.08108986882989391,0,7234.259082523,0,57.34995147957942,113.34176172993247,4.758077260290036,32.5727193760479,-30.31904978190515,-12.912217069917446,24.81788768395101,72.23957283916664,47.92756345509273,20.74883883077441,48.675080956874744
68,0.081096549821601,1,1892.655833325,0,91.12186403962144,110.57055309865177,7.8808664655423675,38.633559005370465,-22.61432773796469,-7.600896840151761,38.058385436214735,74.76353014140119,49.295201717790135,21.373207562045785,58.88695766431382
69,0.08103287490217928,1,595.002893692,0,55.111522578961875,119.74171654080149,4.330119900318119,43.06608206363364,-36.46563837642452,-16.928420279689185,32.458428513241415,72.04511891819573,47.94114154085974,20.718904295915152,49.28832194695116
70,0.08110984769980191,1,640.032496887,0,78.00128376443358,112.57781674532484,6.671985653623047,37.56808684539407,-26.28362431680466,-10.028138080034061,34.38302769543085,76.07055906661557,47.935041938410855,21.310752997618586,55.44952104769766
71,0.08108197512277097,1,730.334361794,0,89.3821332163963,114.04953251788994,7.583481650699249,43.82367193152822,-25.252296504156238,-9.996589333861943,42.25043948075422,74.82897350884004,49.245600127758095,21.38017157461762,59.20036157058298
72,0.08109952266831982,1,2580.815145339,0,86.30274322930181,110.36339423423871,7.428842841227803,36.55175792389487,-22.929875387172654,-7.957319706406305,35.36750711527676,74.07084139263156,49.29470233482426,21.25384541439811,57.43313644328146
73,0.08113567516082634,1,1567.312639747,0,109.73212873280953,109.068224598053,9.414689216369494,42.620609643549784,-18.046158546749957,-5.15362393777496,44.992873120232474,76.40065626402716,50.049678565681425,21.762583338983006,63.711367310876994
74,0.08107235915142343,1,586.888475951,0,69.59269968920772,113.37736125729953,5.899306263094943,36.38184317536362,-28.601318210290327,-11.29776179695538,31.246610144533634,73.2432777596109,48.31501710745819,20.97419329599932,52.89618807236203
75,0.08108432009550663,0,7251.156957714,0,58.24203016206039,113.54500721992324,4.877702585525922,33.21540602966065,-30.837154655554045,-12.6214028401829,25.505637949617107,72.30787287212749,47.899060277114884,20.754039199543932,49.04450544509804
76,0.08120120180827772,1,350.548252331,0,122.90086978863071,101.94014651497582,11.094838296165285,34.78755438479022,-11.602928333649654,-1.1957029511538142,40.88277834517559,77.50978722243295,50.63230239099372,21.96533318147724,65.70552569483442
77,0.0811024570981822,1,879.669867432,0,97.0386604086619,111.22259704191733,8.330281404416173,41.75670414531461,-22.01604566710479,-7.410072223281969,41.89007378845665,75.31610019103351,49.58861247545536,21.511385909800627,60.74356512276866
