minute,pts_in,pts_out
972,1579.0,1101.0
973,1555.0,1040.0
974,1512.0,1087.0
975,1515.0,1120.0
976,1472.0,1118.0
977,1508.0,1113.0
978,1579.0,1040.0
979,1460.0,1049.0
980,1514.0,1061.0
981,1525.0,995.0
982,1454.0,1104.0
983,1441.0,1034.0
984,1421.0,998.0
985,1462.0,1055.0
986,1427.0,1090.0
987,1464.0,1076.0
988,1524.0,1053.0
989,1513.0,1034.0
990,1521.0,1016.0
991,1572.0,1088.0
992,1591.0,976.0
993,1581.0,992.0
994,1531.0,1017.0
995,1544.0,1072.0
996,1556.0,1112.0
997,1497.0,1067.0
998,1495.0,1052.0
999,1507.0,1063.0
1000,1560.0,1054.0
1001,1528.0,1053.0
1002,1496.0,1065.0
1003,1516.0,1036.0
1004,1569.0,1057.0
1005,1747.0,1142.0
1006,1599.0,1048.0
1007,1575.0,1070.0
1008,1564.0,1050.0
1009,1592.0,1132.0
1010,1591.0,1071.0
1011,1632.0,1119.0
1012,1585.0,1168.0
1013,1584.0,1153.0
1014,1598.0,1129.0
1015,1544.0,1142.0
1016,1662.0,1148.0
1017,1754.0,1112.0
1018,1687.0,1184.0
1019,1701.0,1113.0
1020,1663.0,1119.0
1021,1769.0,1138.0
1022,1736.0,1100.0
1023,1643.0,1173.0
1024,1731.0,1149.0
1025,1654.0,1182.0
1026,1661.0,1188.0
1027,1720.0,1134.0
1028,1731.0,1087.0
1029,1749.0,1169.0
1030,1765.0,1130.0
1031,1757.0,1161.0
1032,1702.0,1189.0
1033,1809.0,1141.0
1034,1842.0,1149.0
1035,1759.0,1161.0
1036,1892.0,1174.0
1037,1831.0,1199.0
1038,1833.0,1231.0
1039,1825.0,1200.0
1040,1900.0,1198.0
1041,1812.0,1187.0
1042,1807.0,1198.0
1043,1801.0,1244.0
1044,1823.0,1218.0
1045,1767.0,1196.0
1046,1781.0,1208.0
1047,1860.0,1210.0
1048,1863.0,1224.0
1049,1813.0,1353.0
1050,1879.0,1301.0
1051,1917.0,1248.0
1052,1906.0,1306.0
1053,1875.0,1261.0
1054,1906.0,1257.0
1055,1859.0,1262.0
1056,1822.0,1277.0
1057,1826.0,1266.0
1058,1842.0,1290.0
1059,1888.0,1269.0
1060,1916.0,1285.0
1061,1929.0,1296.0
1062,1884.0,1374.0
1063,1833.0,1278.0
1064,1841.0,1306.0
1065,2040.0,1470.0
1066,1880.0,1330.0
1067,1975.0,1354.0
1068,1966.0,1331.0
1069,1906.0,1417.0
1070,1979.0,1380.0
1071,1923.0,1346.0
1072,1915.0,1308.0
1073,1867.0,1399.0
1074,1900.0,1328.0
1075,1896.0,1316.0
1076,1895.0,1356.0
1077,1952.0,1255.0
1078,1933.0,1355.0
1079,1913.0,1312.0
1080,1982.0,1352.0
1081,1984.0,1319.0
1082,2012.0,1348.0
1083,1991.0,1405.0
1084,2025.0,1358.0
1085,1945.0,1398.0
1086,2048.0,1518.0
1087,2010.0,1537.0
1088,2091.0,1536.0
1089,2082.0,1614.0
1090,2140.0,1515.0
1091,2173.0,1540.0
1092,2162.0,1606.0
1093,2142.0,1620.0
1094,2172.0,1577.0
1095,2245.0,1596.0
1096,2258.0,1609.0
1097,2192.0,1637.0
1098,2185.0,1618.0
1099,2119.0,1684.0
1100,2217.0,1651.0
1101,2169.0,1614.0
1102,2172.0,1657.0
1103,2227.0,1537.0
1104,2217.0,1560.0
1105,2269.0,1623.0
1106,2141.0,1708.0
1107,2237.0,1743.0
1108,2244.0,1684.0
1109,2228.0,1668.0
1110,2229.0,1689.0
1111,2212.0,1797.0
1112,2140.0,1765.0
1113,2213.0,1700.0
1114,2140.0,1722.0
1115,2251.0,1685.0
1116,2252.0,1673.0
1117,2153.0,1702.0
1118,2153.0,1705.0
1119,2204.0,1660.0
1120,2155.0,1698.0
1121,2309.0,1743.0
1122,2185.0,1797.0
1123,2273.0,1763.0
1124,2281.0,1720.0
1125,2424.0,1961.0
1126,2150.0,1846.0
1127,2240.0,1778.0
1128,2302.0,1783.0
1129,2289.0,1759.0
1130,2298.0,1807.0
1131,2288.0,1851.0
1132,2328.0,1816.0
1133,2285.0,1867.0
1134,2386.0,1863.0
1135,2425.0,1913.0
1136,2323.0,1873.0
1137,2323.0,1908.0
1138,2439.0,1835.0
1139,2439.0,1745.0
1140,2444.0,1713.0
1141,2343.0,1759.0
1142,2370.0,1768.0
1143,2361.0,1796.0
1144,2326.0,1759.0
1145,2346.0,1796.0
1146,2315.0,1800.0
1147,2307.0,1843.0
1148,2292.0,1815.0
1149,2259.0,1774.0
1150,2270.0,1816.0
1151,2314.0,1832.0
1152,2311.0,1823.0
1153,2296.0,1902.0
1154,2366.0,1788.0
1155,2391.0,1760.0
1156,2350.0,1825.0
1157,2289.0,1827.0
1158,2363.0,1707.0
1159,2338.0,1727.0
1160,2300.0,1786.0
1161,2282.0,1730.0
1162,2298.0,1796.0
1163,2305.0,1732.0
1164,2227.0,1852.0
1165,2264.0,1778.0
1166,2230.0,1784.0
1167,2274.0,1847.0
1168,2250.0,1809.0
1169,2235.0,1813.0
1170,2336.0,1807.0
1171,2308.0,1792.0
1172,2324.0,1807.0
1173,2247.0,1739.0
1174,2270.0,1714.0
1175,2279.0,1720.0
1176,2241.0,1734.0
1177,2324.0,1710.0
1178,2301.0,1770.0
1179,2236.0,1692.0
1180,2268.0,1680.0
1181,2249.0,1671.0
1182,2222.0,1658.0
1183,2306.0,1575.0
1184,2278.0,1638.0
1185,2376.0,1750.0
1186,2220.0,1619.0
1187,2207.0,1626.0
1188,2207.0,1659.0
1189,2180.0,1698.0
1190,2163.0,1666.0
1191,2131.0,1676.0
1192,2100.0,1726.0
1193,2134.0,1674.0
1194,2144.0,1764.0
