minute,pts_in,pts_out
794,784.0,603.0
795,844.0,486.0
796,854.0,518.0
797,852.0,503.0
798,850.0,506.0
799,841.0,517.0
800,836.0,510.0
801,881.0,523.0
802,876.0,516.0
803,815.0,600.0
804,839.0,586.0
805,829.0,525.0
806,824.0,484.0
807,812.0,508.0
808,802.0,481.0
809,841.0,517.0
810,885.0,484.0
811,827.0,523.0
812,870.0,530.0
813,844.0,548.0
814,820.0,489.0
815,845.0,527.0
816,825.0,526.0
817,821.0,540.0
818,839.0,514.0
819,821.0,495.0
820,811.0,535.0
821,849.0,516.0
822,815.0,508.0
823,823.0,519.0
824,776.0,526.0
825,931.0,565.0
826,864.0,525.0
827,797.0,492.0
828,782.0,482.0
829,812.0,464.0
830,872.0,498.0
831,897.0,488.0
832,809.0,470.0
833,809.0,497.0
834,823.0,478.0
835,846.0,475.0
836,781.0,498.0
837,792.0,470.0
838,775.0,502.0
839,751.0,465.0
840,744.0,451.0
841,781.0,452.0
842,759.0,472.0
843,764.0,423.0
844,795.0,430.0
845,806.0,456.0
846,770.0,508.0
847,759.0,466.0
848,778.0,452.0
849,768.0,460.0
850,776.0,475.0
851,709.0,492.0
852,766.0,443.0
853,772.0,479.0
854,750.0,493.0
855,761.0,435.0
856,752.0,443.0
857,715.0,438.0
858,704.0,478.0
859,737.0,408.0
860,704.0,418.0
861,741.0,465.0
862,707.0,445.0
863,682.0,433.0
864,711.0,493.0
865,672.0,469.0
866,738.0,434.0
867,728.0,437.0
868,713.0,447.0
869,762.0,450.0
870,727.0,454.0
871,779.0,454.0
872,811.0,441.0
873,751.0,469.0
874,754.0,474.0
875,753.0,423.0
876,753.0,417.0
877,706.0,430.0
878,719.0,453.0
879,789.0,434.0
880,757.0,434.0
881,739.0,440.0
882,732.0,408.0
883,739.0,400.0
884,694.0,436.0
885,837.0,490.0
886,758.0,455.0
887,724.0,413.0
888,748.0,412.0
889,737.0,412.0
890,764.0,419.0
891,743.0,426.0
892,731.0,426.0
893,725.0,429.0
894,726.0,425.0
895,729.0,390.0
896,749.0,379.0
897,713.0,416.0
898,766.0,450.0
899,734.0,456.0
900,792.0,461.0
901,775.0,454.0
902,766.0,410.0
903,757.0,419.0
904,699.0,394.0
905,717.0,467.0
906,737.0,457.0
907,736.0,405.0
908,704.0,446.0
909,730.0,440.0
910,695.0,455.0
911,710.0,468.0
912,702.0,473.0
913,706.0,424.0
914,752.0,430.0
915,776.0,457.0
916,763.0,462.0
917,746.0,454.0
918,715.0,484.0
919,721.0,431.0
920,716.0,445.0
921,699.0,457.0
922,730.0,443.0
923,707.0,414.0
924,698.0,444.0
925,718.0,407.0
926,680.0,389.0
927,690.0,416.0
928,646.0,437.0
929,706.0,441.0
930,719.0,454.0
931,691.0,455.0
932,748.0,439.0
933,752.0,405.0
934,759.0,430.0
935,773.0,438.0
936,780.0,424.0
937,765.0,513.0
938,773.0,517.0
939,792.0,427.0
940,732.0,484.0
941,755.0,449.0
942,759.0,448.0
943,741.0,444.0
944,699.0,466.0
945,785.0,538.0
946,723.0,520.0
947,771.0,477.0
948,728.0,494.0
949,780.0,498.0
950,788.0,445.0
951,762.0,515.0
952,848.0,477.0
953,809.0,488.0
954,800.0,536.0
955,769.0,501.0
956,786.0,529.0
957,825.0,497.0
958,817.0,529.0
959,821.0,485.0
960,831.0,468.0
961,878.0,500.0
962,810.0,509.0
